5611824441,0,2,2.5,8,3.9
5611824625,0,2,2.5,3.3,3.9
5612587437,0,0,6.9,1.2,1.2
5612587446,0,0,6.9,1.2,1.2
5612608285,0,0,1.3,1.6,4
5612608292,0,0,1.3,1.6,4
5612608293,0,0,5.6,2,0.8
5612608304,0,0,5.6,2,0.8
5612608306,3,9,8.1,8.7,0.1
5612608687,0,0,1.3,1.6,4
5612608694,0,0,1.3,1.6,4
5612608695,0,0,5.6,2,0.8
5612608706,0,0,5.6,2,0.8
5612608708,3,9,8.1,8.7,0.1
5613322933,0,2,2.5,3.3,3.9
5614071475,3,0,1.9,1.2,0.6
5614071478,3,0,1.9,1.2,0.6
5614071479,2,1,12.5,2.1,3.7
5615036879,0,9,6.3,0.6,0.4
5615036898,2,0,6.3,6.3,0.8
5615036901,2,0,6.3,6.3,0.8
5615036905,0,0,6.9,1.2,1.2
5615036914,0,0,6.9,1.2,1.2
5615036923,3,9,8.1,9,0.1
5615036959,0,0,6.9,1.2,1.2
5615036968,0,0,6.9,1.2,1.2
5615036977,3,9,8.1,8.7,0.1
5615037016,0,0,6.9,1.2,1.2
5615037025,0,0,6.9,1.2,1.2
5615037053,2,0,6.3,6.3,0.8
5615037056,2,0,6.3,6.3,0.8
5615037070,0,0,6.9,1.2,1.2
5615037079,0,0,6.9,1.2,1.2
5615948510,1,0,6.3,4,0.4
5615948518,1,0,6.3,4,0.4
5615948519,2,0,4.1,2.1,0.4
5615948527,2,0,4.1,2.1,0.4
5615948529,3,9,8.1,8.8,0.1
5615948887,0,2,2.5,3.3,3.9
5615949081,0,2,2.5,3.3,3.9
5616659277,0,0,3.1,0.7,0.2
5616659284,0,0,3.1,0.7,0.2
5616659285,2,0,4.1,2.1,0.4
5616659292,2,0,4.1,2.1,0.4
5616659294,3,9,8.1,8.6,0.1
5616660406,0,0,1.3,1.6,4
5616660413,0,0,1.3,1.6,4
5616660414,2,0,4.1,2.1,0.4
5616660421,2,0,4.1,2.1,0.4
5616660422,2,0,4.1,2.1,0.4
5616660430,2,0,4.1,2.1,0.4
5616660432,3,9,8.1,8.9,0.1
