5611824441,2.5,8,3.9
5611824625,2.5,3.3,3.9
5612587437,6.9,1.2,1.2
5612587446,6.9,1.2,1.2
5612608285,1.3,1.6,4
5612608292,1.3,1.6,4
5612608293,5.6,2,0.8
5612608304,5.6,2,0.8
5612608306,8.1,8.7,0.1
5612608687,1.3,1.6,4
5612608694,1.3,1.6,4
5612608695,5.6,2,0.8
5612608706,5.6,2,0.8
5612608708,8.1,8.7,0.1
5613322933,2.5,3.3,3.9
5614071475,1.9,1.2,0.6
5614071478,1.9,1.2,0.6
5614071479,12.5,2.1,3.7
5615036879,6.3,0.6,0.4
5615036898,6.3,6.3,0.8
5615036901,6.3,6.3,0.8
5615036905,6.9,1.2,1.2
5615036914,6.9,1.2,1.2
5615036923,8.1,9,0.1
5615036959,6.9,1.2,1.2
5615036968,6.9,1.2,1.2
5615036977,8.1,8.7,0.1
5615037016,6.9,1.2,1.2
5615037025,6.9,1.2,1.2
5615037053,6.3,6.3,0.8
5615037056,6.3,6.3,0.8
5615037070,6.9,1.2,1.2
5615037079,6.9,1.2,1.2
5615200473,1.3,0.2,3.9
5615200484,1.3,0.2,3.9
5615948376,1.3,0.2,3.9
5615948387,1.3,0.2,3.9
5615948510,6.3,4,0.4
5615948518,6.3,4,0.4
5615948519,4.1,2.1,0.4
5615948527,4.1,2.1,0.4
5615948529,8.1,8.8,0.1
5615948887,2.5,3.3,3.9
5615949081,2.5,3.3,3.9
5616659277,3.1,0.7,0.2
5616659284,3.1,0.7,0.2
5616659285,4.1,2.1,0.4
5616659292,4.1,2.1,0.4
5616659294,8.1,8.6,0.1
5616660406,1.3,1.6,4
5616660413,1.3,1.6,4
5616660414,4.1,2.1,0.4
5616660421,4.1,2.1,0.4
5616660422,4.1,2.1,0.4
5616660430,4.1,2.1,0.4
5616660432,8.1,8.9,0.1
5617394740,1.3,1.6,4
5617394747,1.3,1.6,4
5617394748,4.1,2.1,0.4
5617394756,4.1,2.1,0.4
5617394757,4.1,2.1,0.4
5617394764,4.1,2.1,0.4
5617394766,8.1,9.1,0.1
5617395421,5.6,2,0.8
5617395432,5.6,2,0.8
5617395434,8.1,8.6,0.1
5618148878,6.9,1.2,1.2
5618148887,6.9,1.2,1.2
5618148914,6.9,1.2,1.2
5618148923,6.9,1.2,1.2
5618148964,6.9,1.2,1.2
5618148973,6.9,1.2,1.2
5618148982,8.1,10,0.1
5618176795,1.3,1.6,4
5618176802,1.3,1.6,4
5618176803,1.3,1.6,4
5618176810,1.3,1.6,4
5618176812,8.1,8.8,0.1
5618176907,4.1,2.1,0.4
5618176914,4.1,2.1,0.4
5618176915,4.1,2.1,0.4
5618176922,4.1,2.1,0.4
5618176924,8.1,8.4,0.1
5618177052,4.1,2.1,0.4
5618177060,4.1,2.1,0.4
5618177061,4.1,2.1,0.4
5618177068,4.1,2.1,0.4
5618177069,4.1,2.1,0.4
5618177076,4.1,2.1,0.4
5618177078,8.1,8.6,0.1
5618177715,4.1,2.1,0.4
5618177722,4.1,2.1,0.4
5618177723,4.1,2.1,0.4
5618177730,4.1,2.1,0.4
5618177732,8.1,9.1,0.1
5618836952,6.3,4,0.4
5618836960,6.3,4,0.4
5618836961,4.1,2.1,0.4
5618836968,4.1,2.1,0.4
5618836970,8.1,8.5,0.1
5618837028,4.1,2.1,0.4
5618837035,4.1,2.1,0.4
5618837036,4.1,2.1,0.4
5618837044,4.1,2.1,0.4
5618837046,8.1,8.6,0.1
5619528181,4.1,2.1,0.4
5619528188,4.1,2.1,0.4
5619528189,4.1,2.1,0.4
5619528196,4.1,2.1,0.4
5619528198,8.1,8.5,0.1
5619528561,4.1,2.1,0.4
5619528568,4.1,2.1,0.4
5619528569,4.1,2.1,0.4
5619528577,4.1,2.1,0.4
5619528579,8.1,8.4,0.1
5620274610,2.5,3.3,3.9
5620274752,1.9,0.8,0.2
5620274899,1.3,1.6,4
5620274906,1.3,1.6,4
5620274907,4.1,2.1,0.4
5620274914,4.1,2.1,0.4
5620274915,4.1,2.1,0.4
5620274922,4.1,2.1,0.4
5620274924,8.1,8.6,0.1
5621046251,1.3,0.2,3.9
5621046312,6.9,1.2,1.2
5621046321,6.9,1.2,1.2
5621046330,8.1,8.4,0.1
5621046391,6.3,6.3,0.8
5621046394,6.3,6.3,0.8
5621046403,6.9,1.2,1.2
5621046412,6.9,1.2,1.2
5621046444,3.1,1.6,0.9
5621046447,3.1,1.6,0.9
5621046480,6.3,6.3,0.8
5621046483,6.3,6.3,0.8
5621046492,6.9,1.2,1.2
5621046501,6.9,1.2,1.2
5621046535,6.3,6.3,0.8
5621046538,6.3,6.3,0.8
5621081269,1.6,1.6,2.2
5621081272,1.6,1.6,2.2
5621081591,4.1,2.1,0.4
5621081598,4.1,2.1,0.4
5621081599,4.1,2.1,0.4
5621081607,4.1,2.1,0.4
5621081609,8.1,8.6,0.1
5621081635,4.1,2.1,0.4
5621081643,4.1,2.1,0.4
5621081644,4.1,2.1,0.4
5621081651,4.1,2.1,0.4
5621081653,8.1,8.7,0.1
5621081727,6.3,4,0.4
5621081735,6.3,4,0.4
5621081736,4.1,2.1,0.4
5621081744,4.1,2.1,0.4
5621081745,4.1,2.1,0.4
5621081752,4.1,2.1,0.4
5621081754,8.1,8.5,0.1
5621725305,4.1,2.1,0.4
5621725312,4.1,2.1,0.4
5621725313,4.1,2.1,0.4
5621725321,4.1,2.1,0.4
5621725323,8.1,8.6,0.1
5621725519,6.3,4,0.4
5621725527,6.3,4,0.4
5621725528,1.3,1.6,4
5621725535,1.3,1.6,4
5621725536,5.6,2,0.8
5621725547,5.6,2,0.8
